user_id,cibil_score,account_age_days,user_history_score,transaction_amount,transaction_type,bank_balance,insufficient_funds_flag,ip_switching_frequency,rooted_device_flag,multiple_attempts_short_time,account_behavior_score,past_failure_count,success_rate,always_fails_after_spending_flag,velocity_score,anomaly_score,fraud_label
101298,821,3576,93,672.55,domestic,6015.26,0,1,0,0,95,2,0.9652,0,11,6,0
103604,874,346,83,2014.85,international,9011.06,0,2,0,0,91,1,0.8221,0,19,19,0
106303,699,1310,77,3566.0,domestic,39323.2,0,0,0,0,85,0,0.9836,0,14,8,0
105934,827,1518,88,6350.02,international,14186.09,0,1,0,0,86,1,0.9666,0,11,15,0
106662,753,543,89,7094.75,international,77416.42,0,2,0,0,98,1,0.9458,0,32,17,0
102645,650,312,75,772.22,domestic,7317.21,0,5,0,0,82,1,0.9917,0,22,25,0
105071,705,862,80,4350.55,domestic,57346.45,0,2,0,0,85,0,0.9085,0,14,18,0
100115,793,399,85,1940.93,domestic,14427.72,0,0,0,0,78,1,0.9912,0,22,12,0
100969,650,181,74,1377.76,domestic,5532.4,0,1,0,0,83,1,0.9012,0,16,19,0
105896,757,993,77,265.16,domestic,2390.04,0,0,0,0,87,0,0.8826,0,27,12,0
104347,776,97,90,4852.25,domestic,36888.33,0,2,0,0,100,1,0.8998,0,21,14,0
102313,832,195,77,1246.9,domestic,7445.93,0,0,0,1,95,0,0.9218,0,20,17,0
105179,784,345,81,4939.46,domestic,43618.34,0,0,0,0,94,1,0.9658,0,15,0,0
104399,792,907,92,1619.67,domestic,14828.24,0,2,0,0,100,1,0.9463,0,23,16,0
100171,793,152,90,4360.97,domestic,45311.77,0,3,0,0,98,1,0.8644,0,14,16,0
107825,529,114,13,5269.12,domestic,3462.41,1,12,1,1,7,4,0.1306,1,70,77,1
106242,841,1494,95,1777.37,domestic,22485.03,0,0,0,0,98,0,0.9556,0,8,13,0
103833,650,443,74,1337.35,domestic,11144.29,0,3,0,0,100,0,0.9636,0,17,23,0
107716,523,11,19,35912.33,domestic,24427.05,1,12,1,1,18,10,0.1739,1,70,71,1
100526,816,60,80,693.81,international,1394.95,0,0,0,0,97,0,0.9479,0,6,10,0
103701,827,197,97,532.8,domestic,2250.12,0,1,0,0,100,1,0.879,0,20,14,0
103825,776,216,90,5392.91,domestic,54345.18,0,0,0,0,98,0,0.8835,0,14,6,0
103095,807,563,82,73.56,domestic,1039.67,0,1,0,0,82,0,0.902,0,17,2,0
105063,687,366,85,1487.73,domestic,6327.62,0,1,0,0,92,0,0.9632,0,27,18,0
103136,757,504,86,966.79,domestic,5791.82,0,2,0,0,91,2,0.9166,0,24,20,0
102287,771,521,95,3861.86,domestic,23372.51,0,2,0,0,98,1,0.9363,0,15,16,0
107305,675,37,4,4785.52,international,2191.99,1,14,1,1,11,15,0.0415,1,67,87,1
102204,844,127,89,2041.32,international,18303.75,0,2,0,0,84,2,0.9886,0,9,17,0
101179,888,1760,94,2481.08,domestic,34959.24,0,1,0,0,100,1,0.9147,0,20,28,0
101679,773,1879,89,2862.5,domestic,23720.79,0,0,0,0,94,0,0.8996,0,7,29,0
103625,807,721,79,3244.4,domestic,47276.97,0,3,0,0,87,0,0.964,0,25,14,0
102398,815,61,85,1436.49,domestic,17469.95,0,2,0,0,82,0,0.9554,0,18,15,0
104066,675,741,71,2529.16,domestic,17999.07,0,2,0,0,97,3,0.9186,0,25,13,0
